년월,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2014-01,-0.6,-5.8,4.4
2014-02,2.1,-2.3,7.4
2014-03,7.6,2.3,13.6
2014-04,13.3,7.9,19.9
2014-05,18.2,12.5,25.2
2014-06,22.9,18.8,28.1
2014-07,25.6,22,30.4
2014-08,24.7,21.5,28.9
2014-09,21.8,17.3,27.1
2014-10,15.2,10,21.5
2014-11,8.5,3.7,13.9
2014-12,-2,-6.1,2.6
2015-01,-0.5,-4.7,4.2
2015-02,1.3,-3.1,6.4
2015-03,6,0,12.8
2015-04,13.1,7.8,19.2
2015-05,18.2,12.2,24.9
2015-06,23.1,18.2,29
2015-07,25.5,22.1,30
2015-08,26.2,22.5,31.3
2015-09,22.1,16.9,27.9
2015-10,15.3,10,21.9
2015-11,9.5,5.9,13.5
2015-12,2.4,-1.8,7.3
2016-01,-2.1,-6.3,2.6
2016-02,0.9,-4.2,6.1
2016-03,7,1.8,13.4
2016-04,13.9,8.5,21.3
2016-05,19.1,13.1,25.9
2016-06,23.2,18.8,28.9
2016-07,26,22.9,30.2
2016-08,27.7,24,32.8
2016-09,22.7,18.9,27.6
2016-10,15.7,11.1,21.2
2016-11,7,2.2,12.3
2016-12,1.7,-2.9,6.9
2017-01,-1.5,-6.2,3.8
2017-02,0,-5.2,5.5
2017-03,5.7,0.1,12.5
2017-04,13.2,7.5,20.1
2017-05,18.4,12.4,25.3
2017-06,22.4,17.3,28.7
2017-07,26.5,23.7,30.5
2017-08,25.5,22.3,29.8
2017-09,21.2,16.3,27.1
2017-10,15.4,10.2,21.7
2017-11,5.7,0.4,11.5
2017-12,-1.4,-5.8,3.3
2018-01,-3.6,-7.8,1.3
2018-02,-1.6,-6.8,4.3
2018-03,7.9,2.9,14.2
2018-04,12.6,6.8,19.3
2018-05,17.9,12.6,23.7
2018-06,22.6,17.9,28.7
2018-07,27.5,23.5,32.5
2018-08,28.4,24.6,33.5
2018-09,21.1,16.8,26.2
2018-10,12.6,7.2,19.1
2018-11,7.7,2.6,14.2
2018-12,-0.3,-5.1,5.2
2019-01,-1.1,-6.3,4.9
2019-02,0.8,-4.3,6.8
2019-03,6.6,0.9,13.3
2019-04,11.7,5.7,18.2
2019-05,18.4,11.8,25.9
2019-06,22.1,17.2,27.9
2019-07,25.8,22.3,30.3
2019-08,26.8,23.1,31.5
2019-09,22.3,18.3,26.8
2019-10,16,10.9,21.3
2019-11,7.5,2.2,13.4
2019-12,1.5,-3,5.8
2020-01,1.6,-2.6,6.4
2020-02,2.4,-2,7.3
2020-03,7.1,1.2,13.3
2020-04,10.5,5,16.6
2020-05,17.6,13,23.3
2020-06,23,18.6,28.5
2020-07,23.8,20.5,27.9
2020-08,26.7,24.1,30.2
2020-09,21.1,17.3,25.7
2020-10,13.8,8.2,19.7
2020-11,7.7,2.8,12.8
2020-12,-0.4,-4.7,4.3
2021-01,-2.4,-7.8,2.6
2021-02,2.2,-3.3,7.8
2021-03,8.1,2.7,14.6
2021-04,13.5,8,19.4
2021-05,16.5,11.6,21.8
2021-06,22.5,18.3,27.7
2021-07,27.7,23.8,32.5
2021-08,25.7,22.5,29.9
2021-09,22.6,18.7,27.1
2021-10,15.6,10.9,21
2021-11,7.9,3,13.5
2021-12,0.7,-4,5.7
2022-01,-2.2,-7.3,3.1
2022-02,-1.1,-6,4.1
2022-03,7.1,1.8,12.8
2022-04,13.5,8,20
2022-05,18.1,12.3,24.2
2022-06,23.1,19.2,27.7
2022-07,27.1,23.7,31.2
2022-08,25.5,22.6,29.2
2022-09,22.1,17.7,27.5
2022-10,14.3,9.5,19.9
2022-11,9.5,4.1,15.7
2022-12,-3.9,-8.4,0.8
2023-01,-2.1,-6.9,3
2023-02,1.6,-3.3,7.2
2023-03,8.5,2.1,15.9
2023-04,13,7.3,18.8
2023-05,18.3,12.9,24.3
2023-06,22.4,18.3,27.4
2023-07,25.9,22.8,29.9
2023-08,26.7,23.3,30.9
2023-09,23.1,19.4,27.5
2023-10,14.9,9.8,20.9
2023-11,6.7,2.2,11.9
2023-12,1.1,-3.3,5.7
